221	1110	14	203.34
2865	3080	4	73.3
180	150	3	15.23
127	102	35	114.94
390	104	8	40.43
348	710	6	71.17
231	682	3	27.95
104	4277	4	35.23
12	822	5	8.87
102	1356	3	10.85
139	263	10	84.71
225	344	4	33.87
171	390	6	52.89
3181	12	3	10.48
720	438	3	32.15
128	817	3	22.85
1596	161	3	29.36
7768	12	3	18.52
1030	101	5	14.98
1475	14	10	42.21
111	338	6	33.78
3146	196	4	52.06
7130	14	3	16.76
3652	14	5	22.65
7338	14	3	16.76
263	3148	4	55.54
886	17	4	29.7
111	174	3	7.9
3218	12	3	10.48
363	634	3	30.56
3963	222	3	38.96
390	460	3	28.94
368	199	3	23.23
166	327	3	20.74
107	17	5	5.1
678	234	3	28.04
232	363	8	82.31
102	1233	5	22.99
101	465	5	8.29
225	257	3	21.98
101	1158	5	16.26
2312	12	3	7.62
119	150	29	234.13
135	474	24	286.88
103	2488	3	19.51
138	140	13	91.38
5249	14	3	12.39
1489	351	3	34.82
109	660	14	117.03
1596	460	3	36.9
722	101	3	4.44
103	135	4	4.4
736	1542	3	39.47
316	461	4	39.45
222	163	3	17.65
238	716	3	28.39
294	627	3	28.94
106	128	5	8.16
4426	14	5	27.93
365	229	9	94.55
510	101	4	5.71
739	12	5	8.07
407	212	3	24.18
387	153	7	61.38
158	171	5	30.7
12	1109	3	4.29
480	101	4	5.33
634	263	3	28.75
6770	14	3	16.76
12	287	8	7.94
4541	14	5	27.93
207	1705	3	32.35
12	1447	3	5.41
109	3097	6	59.69
1925	14	4	9.64
5866	14	3	12.39
4506	14	5	27.93
7747	14	3	16.76
1747	12	3	6.37
732	150	3	24.13
2681	12	3	9.33
114	389	5	30.42
230	223	3	20.98
1027	172	3	27.26
703	102	4	12.08
638	391	4	43.9
2523	928	3	43.55
5622	14	4	22.35
133	115	23	148.37
102	5336	4	33.42
3504	12	3	10.48
101	266	5	4.4
207	279	3	21.78
111	1572	3	21.39
385	108	4	16.74
242	189	4	28.98
5297	14	3	12.39
217	2068	5	63.66
148	129	73	819.34
357	1200	4	48.04
543	388	3	30.09
1168	5486	3	51.1
589	253	3	27.97
358	1568	3	35.51
132	107	8	21.4
102	343	4	7.39
341	617	3	29.91
372	14	40	202.23
218	276	3	22.05
122	444	3	18.38
138	133	3	11.32
4325	14	5	27.93
101	384	4	4.19
509	186	5	45.66
2752	152	5	62.31
113	893	3	18.54
3642	14	4	14.96
102	1159	5	22.24
101	471	4	5.33
1113	521	5	65.69
734	115	4	27.56
6084	565	3	47.26
1771	4216	3	51.42
101	1308	3	7.39
1067	684	7	101.23
930	1373	13	243.84
233	362	3	24.5
1045	101	3	6.27
1208	116	10	106.04
512	512	6	71.19
160	990	4	38.1
180	328	30	382.59
1114	156	3	27.17
938	817	3	36.95
174	102	11	23.28
108	179	5	14.33
114	747	15	150.69
3964	428	3	43.33
633	511	3	32.35
2803	14	6	27.91
103	851	4	19.82
1627	14	8	29.93
5180	14	3	12.39
943	101	3	5.65
102	140	6	4.15
1161	964	7	106.97
101	2984	3	11.97
1327	141	7	77.94
101	623	6	15.21
694	246	3	28.4
16	2	17	70.97
401	107	10	62.14
3870	1272	3	49.77
493	102	10	43.12
1734	12	3	6.37
12	519	6	8.27
113	135	11	49.34
288	117	4	21.35
869	108	3	15.04
793	116	5	38.96
12	4795	3	14.11
6303	101	3	21.3
5801	14	3	12.39
135	757	3	23.14
775	101	5	12.46
101	5338	3	16.86
